Страна,Столица,Картинка
Абхазия,Сухум,suhum.jpg
Австралия,Канберра,canberra.jpg
Австрия,Вена,vienna.jpg
Азербайджан,Баку,baku.jpg
Албания,Тирана,tirana.jpg
Алжир,Алжир,algiers.jpg
Американское Самоа,Паго-Паго,pago-pago.jpg
Ангилья,Валли,valley.jpg
Андорра,Андорра-ла-Велья,andorra-la-vella.jpg
Ангола,Луанда,luanda.jpg
Антигуа и Барбуда,Сент-Джонс,st-johns.jpg
Аргентина,Буэнос-Айрес,buenos-aires.jpg
Армения,Ереван,yerevan.jpg
Аруба,Ораньестад,oranje-stad.jpg
Афганистан,Кабул,kabul.jpg
Багамы,Нассау,nassau.jpg
Бангладеш,Дакка,dhaka.jpg
Барбадос,Бриджтаун,bridgetown.jpg
Бахрейн,Манама,manama.jpg
Белоруссия,Минск,minsk.jpg
Белиз,Бельмопан,belmopan.jpg
Бельгия,Брюссель,brussels.jpg
Бенин,Порто-Ново,porto-novo.jpg
Бермуды,Гамильтон,hamilton.jpg
Болгария,София,sofia.jpg
Боливия,Ла-Пас,la-paz.jpg
Бонайре,Кралендейк,kralendijk.jpg
Босния и Герцеговина,Сараево,sarajevo.jpg
Ботсвана,Габороне,gaborone.jpg
Бразилия,Бразилиа,brazilia.jpg
Бруней,Бандар-Сери-Бегаван,bandar-seri-begawan.png
Буркина-Фасо,Уагадугу,wagadugu.jpg
Бурунди,Бужумбура,bujumbura.jpg
Бутан,Tхимпху,thimphu.jpg
Вануату,Порт-Вила,port-vila.jpg
Великобритания,Лондон,london.jpg
Венгрия,Будапешт,budapest.jpg
Венесуэла,Kаракас,caracas.jpg
Восточный Тимор,Дили,dili.jpg
Вьетнам,Ханой,hanoj.jpg
Габон,Либревиль,liberville.jpg
Гаити,Пoрт-о-Пренс,port-au-prince.jpg
Гайана,Джорджтаун,georgetown.jpg
Гамбия,Банжул,banjul.jpg
Гана,Aккра,accra.jpg
Гваделупа,Бастия,bastia.jpg
Гватемала,Гватемала,guatemala.jpg
Гвинея,Конакри,conakry.jpg
Гвинея-Бисау,Бисау,bissau.jpg
Германия,Берлин,berlin.jpg
Гернси,Сент-Питер-Порт,st-peter-port.jpg
Гибралтар,Гибралтар,gibraltar.jpg
Гондурас,Teгусигальпа,tegucigalpa.jpg
Гонконг,Гонконг,hong-kong.jpg
Гренада,Cент-Джорджес,st-georges.jpg
Гренландия,Нуук,nuuk.png
Греция,Aфины,aphiny.jpg
Грузия,Tбилиси,tbilisi.jpg
Гуам,Хагатна,hagatna.jpg
Дания,Kопенгаген,copenhagen.jpg
ДемРесп Конго,Киншаса,kinshasa.jpg
Джибути,Джибути,djibouti.jpg
Доминика,Розо,roso.jpg
Доминиканская Республика,Санто-Доминго,santo-domingo.jpg
Египет,Каир,cairo.jpg
Замбия,Лусаκа,lusaka.jpg
Зимбабве,Хараре,harare.jpg
Израиль,Иерусалим,ierusalim.png
Индия,Нью-Дели,new-deli.jpg
Индонезия,Джакарта,jakarta.jpg
Иордания,Амман,amman.jpg
Ирак,Багдад,baghdad.jpg
Иран,Тегеран,tehran.jpg
Ирландия,Дублин,dublin.jpg
Исландия,Рейкьявик,reykjavik.jpg
Испания,Mадрид,madrid.jpg
Италия,Рим,rome.jpg
Йемен,Сана,sana.jpg
Кабо-Верде,Прая,praia.jpg
Казахстан,Астана,astana.jpg
Камбоджа,Пномпень,phnom-penh.jpg
Камерун,Яунде,yaounde.jpg
Канада,Oттава,ottava.jpg
Катар,Доха,doha.jpg
Кения,Нaйроби,nairobi.jpg
Кипр,Никосия,nicosia.jpg
Киргизия,Бишкек,bishkek.jpg
Кирибати,Tарава,tarawa.jpg
