Страна,Столица,Картинка,Флаг
Абхазия,Сухум,suhum.jpg,
Австралия,Канберра,canberra.jpg,https://flagcdn.com/w320/au.png
Австрия,Вена,vena.jpg,https://flagcdn.com/w320/at.png
Азербайджан,Баку,baku.jpg,https://flagcdn.com/w320/az.png
Албания,Тирана,tirana.jpg,https://flagcdn.com/w320/al.png
Алжир,Алжир,algiers.jpg,https://flagcdn.com/w320/dz.png
Американское Самоа,Паго-Паго,pago-pago.jpg,
Ангилья,Валли,valley.jpg,
Ангола,Луанда,luanda.jpg,https://flagcdn.com/w320/ao.png
Андорра,Андорра-ла-Велья,andorra-la-vella.jpg,https://flagcdn.com/w320/ad.png
Антигуа и Барбуда,Сент-Джонс,st-johns.jpg,https://flagcdn.com/w320/ag.png
Аргентина,Буэнос-Айрес,buenos-aires.jpg,https://flagcdn.com/w320/ar.png
Армения,Ереван,yerevan.jpg,https://flagcdn.com/w320/am.png
Аруба,Ораньестад,oranje-stad.jpg,
Афганистан,Кабул,kabul.jpg,https://flagcdn.com/w320/af.png
Багамы,Нассау,nassau.jpg,https://flagcdn.com/w320/bs.png
Бангладеш,Дакка,dhaka.jpg,https://flagcdn.com/w320/bd.png
Барбадос,Бриджтаун,bridgetown.jpg,https://flagcdn.com/w320/bb.png
Бахрейн,Манама,manama.jpg,https://flagcdn.com/w320/bh.png
Белиз,Бельмопан,belmopan.jpg,https://flagcdn.com/w320/bz.png
Беларусь,Минск,minsk.jpg,https://flagcdn.com/w320/by.png
Бельгия,Брюссель,brussels.jpg,https://flagcdn.com/w320/be.png
Бенин,Порто-Ново,porto-novo.jpg,https://flagcdn.com/w320/bj.png
Бермуды,Гамильтон,hamilton.jpg,
Болгария,София,sofia.jpg,https://flagcdn.com/w320/bg.png
Боливия,Ла-Пас,la-paz.jpg,https://flagcdn.com/w320/bo.png
Бонайре,Кралендейк,kralendijk.jpg,
Босния и Герцеговина,Сараево,sarajevo.jpg,https://flagcdn.com/w320/ba.png
Ботсвана,Габороне,gabprone.jpg,https://flagcdn.com/w320/bw.png
Бразилия,Бразилиа,brazilia.jpg,https://flagcdn.com/w320/br.png
Бруней,Бандар-Сери-Бегаван,bandar-seri-begawan.png,https://flagcdn.com/w320/bn.png
Буркина-Фасо,Уагадугу,wagadugu.jpg,https://flagcdn.com/w320/bf.png
Бурунди,Бужумбура,bujumbura.jpg,https://flagcdn.com/w320/bi.png
Бутан,Tхимпху,thimphu.jpg,https://flagcdn.com/w320/bt.png
Вануату,Порт-Вила,port-vila.jpg,https://flagcdn.com/w320/vu.png
Великобритания,Лондон,london.jpg,https://flagcdn.com/w320/gb.png
Венгрия,Будапешт,budapest.jpg,https://flagcdn.com/w320/hu.png
Венесуэла,Kаракас,caracas.jpg,https://flagcdn.com/w320/ve.png
Восточный Тимор,Дили,dili.jpg,
Вьетнам,Ханой,hanoj.jpg,https://flagcdn.com/w320/vn.png
Габон,Либревиль,liberville.jpg,https://flagcdn.com/w320/ga.png
Гаити,Пoрт-о-Пренс,port-au-prince.jpg,https://flagcdn.com/w320/ht.png
Гайана,Джорджтаун,georgetown.jpg,https://flagcdn.com/w320/gy.png
Гамбия,Банжул,banjul.jpg,https://flagcdn.com/w320/gm.png
Гана,Aккра,accra.jpg,https://flagcdn.com/w320/gh.png
Гваделупа,Бастия,bastia.jpg,
Гватемала,Гватемала,guatemala.jpg,https://flagcdn.com/w320/gt.png
Гвинея,Конакри,conakry.jpg,https://flagcdn.com/w320/gn.png
Гвинея-Бисау,Бисау,bissau.jpg,https://flagcdn.com/w320/gw.png
Германия,Берлин,berlin.jpg,https://flagcdn.com/w320/de.png
Гернси,Сент-Питер-Порт,st-peter-port.jpg,
Гибралтар,Гибралтар,gibraltar.jpg,
Гондурас,Teгусигальпа,tegucigalpa.jpg,https://flagcdn.com/w320/hn.png
Гонконг,Гонконг,hong-kong.jpg,
Гренада,Cент-Джорджес,st-georges.jpg,
Гренландия,Нуук,nuuk.png,
Греция,Aфины,aphiny.jpg,https://flagcdn.com/w320/gr.png
Грузия,Tбилиси,tbilisi.jpg,https://flagcdn.com/w320/ge.png
Гуам,Хагатна,hagatna.jpg,
Дания,Kопенгаген,copenhagen.jpg,https://flagcdn.com/w320/dk.png
Дем. Респ. Конго,Киншаса,kinshasa.jpg,
Джибути,Джибути,djibouti.jpg,https://flagcdn.com/w320/dj.png
Доминика,Розо,roso.jpg,https://flagcdn.com/w320/dm.png
Доминиканская Республика,Санто-Доминго,santo-domingo.jpg,
Египет,Каир,cairo.jpg,https://flagcdn.com/w320/eg.png
Замбия,Лусаκа,lusaka.jpg,https://flagcdn.com/w320/zm.png
Зимбабве,Хараре,harare.jpg,https://flagcdn.com/w320/zw.png
Израиль,Иерусалим,ierusalim.png,https://flagcdn.com/w320/il.png
Индия,Нью-Дели,new-deli.jpg,https://flagcdn.com/w320/in.png
Индонезия,Джакарта,jakarta.jpg,https://flagcdn.com/w320/id.png
Иордания,Амман,amman.jpg,https://flagcdn.com/w320/jo.png
Ирак,Багдад,baghdad.jpg,https://flagcdn.com/w320/iq.png
Иран,Тегеран,tehran.jpg,https://flagcdn.com/w320/ir.png
Ирландия,Дублин,dublin.jpg,https://flagcdn.com/w320/ie.png
Исландия,Рейкьявик,reykjavik.jpg,https://flagcdn.com/w320/is.png
Испания,Mадрид,madrid.jpg,https://flagcdn.com/w320/es.png
Италия,Рим,rome.jpg,https://flagcdn.com/w320/it.png
Йемен,Сана,sana.jpg,https://flagcdn.com/w320/ye.png
Кабо-Верде,Прая,praia.jpg,https://flagcdn.com/w320/cv.png
Казахстан,Астана,astana.jpg,https://flagcdn.com/w320/kz.png
Камбоджа,Пномпень,phnom-penh.jpg,https://flagcdn.com/w320/kh.png
Камерун,Яунде,yaounde.jpg,https://flagcdn.com/w320/cm.png
Канада,Oттава,ottava.jpg,https://flagcdn.com/w320/ca.png
Катар,Доха,doha.jpg,https://flagcdn.com/w320/qa.png
Кения,Нaйроби,nairobi.jpg,https://flagcdn.com/w320/ke.png
Кипр,Никосия,nicosia.jpg,https://flagcdn.com/w320/cy.png
Киргизия,Бишкек,bishkek.jpg,https://flagcdn.com/w320/kg.png
Кирибати,Tарава,tarawa.jpg,
Китай,Пекин,beijing.jpg,https://flagcdn.com/w320/cn.png
Колумбия,Богота,bogota.jpg,https://flagcdn.com/w320/co.png
Коморы,Морони,moroni.jpg,https://flagcdn.com/w320/km.png
Конго,Браззавиль,brazzaville.jpg,https://flagcdn.com/w320/cg.png
Коста-Рика,Cан-Хосе,san-jose.jpg,https://flagcdn.com/w320/cr.png
Кот-д’Ивуар,Ямусукро,yamusukro.jpg,
Куба,Гавана,havana.jpg,https://flagcdn.com/w320/cu.png
Кувейт,Эль-Кувейт,el-kuwait.jpg,https://flagcdn.com/w320/kw.png
Лаос,Вьентьян,vientiane.jpg,https://flagcdn.com/w320/la.png
Латвия,Рига,riga.jpg,https://flagcdn.com/w320/lv.png
Лесото,Масеру,maseru.jpg,https://flagcdn.com/w320/ls.png
Либерия,Монровия,monrovia.jpg,https://flagcdn.com/w320/lr.png
Ливан,Бейрут,beirut.jpg,https://flagcdn.com/w320/lb.png
Ливия,Tриполи,tripoli.jpg,https://flagcdn.com/w320/ly.png
Литва,Вильнюс,vilnius.jpg,https://flagcdn.com/w320/lt.png
Лихтенштейн,Вадуц,vaduz.png,https://flagcdn.com/w320/li.png
Люксембург,Люксембург,luxembourg.jpg,https://flagcdn.com/w320/lu.png
Маврикий,Порт-Луи,port-louis.jpg,https://flagcdn.com/w320/mu.png
Мавритания,Нуакшот,nuakchot.jpg,https://flagcdn.com/w320/mr.png
Мадагаскар,Антананариву,antananarivu.jpg,https://flagcdn.com/w320/mg.png
Майотта,Mамудзу,mamoudzou.jpg,
Малави,Лилонгве,lilongwe.jpg,https://flagcdn.com/w320/mw.png
